Network,Geodesic,Functional,Structural
2,0.344474732875824,0.44789493,0.050498404
2,0.282378554344177,0.54996055,0.1966005
2,0.424723625183105,0.44426098,0.07574343
3,0.479678094387054,0.36139882,0.13207135
3,0.190894052386284,0.5187876,0.5235012
2,0.229521289467811,0.4143038,0.22460726
4,0.266718447208404,0.47994316,0.06952874
4,0.187099695205688,0.53037155,0.16364756
4,0.086566433310509,0.8645486,0.8558232
5,0.137429058551788,0.52246314,0.06155854
5,0.08107878267765,0.8557564,0.4234794
4,0.345340013504028,0.38127285,0.061383888
4,0.251099824905395,0.41629726,0.024438368
2,0.29919159412384,0.37400427,0.025657283
2,0.602411508560181,0.2598434,0.13431177
3,0.719671308994293,0.25111124,0.09779915
5,0.275506913661957,0.90025747,0.50120777
4,0.385395109653473,0.91791046,0.6143709
,,0.8904241,0.6894486
1,0.56016343832016,0.53869057,0.5119718
5,0.315741240978241,0.80477613,0.7453956
6,0.242033705115318,0.36122844,0.37522006
2,0.39110541343689,0.45711026,0.21120451
4,0.392023682594299,0.29057276,0.2504308
3,0.41225129365921,0.7187727,0.50462365
2,0.477039039134979,0.5464534,0.4419052
7,0.380070507526398,0.35667932,0.25645447
7,0.505104780197144,0.16366671,0.10906118
7,0.532159924507141,0.22099571,0.09222067
5,0.249736413359642,0.6103333,0.9366114
7,0.426046371459961,0.42896128,0.21367508
6,0.620796144008637,0.32377982,0.278421
5,0.500167310237885,0.61899555,0.33767414
4,0.434356808662414,0.7486935,0.42412007
3,0.547723472118378,0.49275678,0.24361564
4,0.682489216327667,0.35898522,0.24999432
2,0.675495147705078,0.24148233,0.2699069
4,0.577477037906647,0.25750795,0.09367326
4,0.689169526100159,0.31236959,0.13264468
3,0.746196389198303,0.39666957,0.14078873
1,0.736971497535706,0.3568869,0.41682342
2,0.829348921775818,0.2864081,0.41798374
5,0.762316286563873,0.27243295,0.12223597
5,0.863529443740845,0.26994985,0.35200116
1,0.925362527370453,0.2054301,0.35539258
3,0.51701545715332,0.38368416,0.21926248
4,0.599579453468323,0.4219015,0.24744686
6,0.713163316249847,0.27625605,0.26718742
7,0.697452962398529,0.3936145,0.16374232
6,0.797668993473053,0.4629214,0.38196138
1,0.847420036792755,0.062115867,0.42741606
1,0.513268768787384,0.2713912,0.4561239
1,0.580661416053772,0.19672161,0.31016612
4,0.451260387897491,0.58958024,0.44885278
1,0.772339284420013,0.09808744,0.21230078
2,0.73469477891922,0.19899672,0.18485664
1,0.892421841621399,0.08947217,0.3439939
1,0.829435110092163,0.0837621,0.256144
1,0.529358625411987,0.27278858,0.4490272
7,0.710895121097565,0.49559724,0.34987313
6,0.667863726615906,0.53285336,0.33149853
1,0.573585093021393,0.35649544,0.353572
5,0.072953879833221,0.80904484,0.7285953
5,0.133849501609802,0.6713375,0.42508724
5,0.004612505435944,0.95809925,0.92937034
3,0.214581742882728,0.53738356,0.46345246
2,0.31165224313736,0.5032513,0.07492344
4,0.202047631144524,0.5007977,0.05407535
6,0.424622595310211,0.5161822,0.4760897
6,0.306077718734741,0.26120472,0.28692162
5,0.353078782558441,0.53050655,0.61150026
2,0.291246473789215,0.60644597,0.15950048
2,0.391314268112183,0.60450774,0.13814515
2,0.400643706321716,0.34003395,0.27256984
7,0.40391206741333,0.43418774,0.19659208
6,0.541225671768189,0.46266815,0.14080268
4,0.173682630062103,0.51832354,0.3250216
6,0.356193542480469,0.6150493,0.17355771
6,0.25636887550354,0.6675992,0.5387734
1,0.747587978839874,0.48173332,0.7992426
1,0.771111607551575,0.12816562,0.122461766
1,0.795291602611542,0.09909344,0.44023246
1,0.7642902135849,0.26810712,0.73297185
1,0.828712284564972,0.23465887,0.6856488
1,0.818083643913269,0.16940637,0.5171465
1,0.686764597892761,0.1664986,0.31097853
2,0.689647436141968,0.36186835,0.5881895
2,0.735044896602631,0.33353844,0.47009504
3,0.678895235061646,0.35442156,0.27985027
3,0.556201040744782,0.34960544,0.064792514
4,0.616780877113342,0.35365883,0.2369177
1,0.941331446170807,0.067108765,0.585646
6,0.549400150775909,0.6857987,0.5334969
5,0.796757578849793,0.45297214,0.528823
1,0.973453223705291,0.014741783,0.42577782
2,0.949121415615082,0.07860972,0.3215968
1,0.616228699684143,0.35702974,0.32432204
1,0.999999940395355,0.04407205,0.27665782
1,0.882532954216003,0.037840597,0.23897566
1,0.805239140987396,0.058883548,0.27588022
1,0.76686817407608,0.14386044,0.3000289
1,0.8063143491745,0.111952424,0.19529393
2,0.375172615051269,0.6815682,0.09744184
