labels,geodesic,myelin,Michigan_FEOBV,Aghourian_FEOBV,Bedard_FEOBV,Tuominen_FEOBV,functional,abs_functional,structural,wresidC
112,0.13748012483119965,0.6883558,0.471198,0.35162127,0.34410414,0.34052944,0.9270115492636357,0.9196909835024665,0.48048779740080544,0.10324561700319278
130,0.5657780766487122,0.6780281,0.27144256,0.37603432,0.23402223,0.24919812,0.2547076721896775,0.21748041419549988,0.09099401354398416,0.12046426005597645
133,0.6177041530609131,0.66402715,0.3290243,0.23525561,0.2793093,0.23919131,0.3879000350979984,0.3297685463382699,0.28898028510150786,0.04631943583859952
176,0.48785874247550964,0.6537394,0.35013407,0.3562308,0.24827918,0.26881802,0.4253226257739384,0.4389430374679786,0.1682734062147934,0.4972204565588388
1,0.848533034324646,0.8084382,0.07675887,0.2539431,0.18503407,0.18661158,0.5662171955216908,0.5227098253253021,0.806549143427706,0.10181221510334496
4,0.736174464225769,0.7913465,0.20233536,0.2808606,0.19147947,0.16672792,0.3437555866101998,0.27881311726863456,0.7327773467917081,0.031133590086083886
22,0.7525449395179749,0.7300977,0.29255533,0.24180536,0.19851407,0.15564092,0.2665117915288131,0.20623676098550944,0.3024437291281913,0.023713639810207788
14,0.543992817401886,0.6985885,0.26529238,0.20547257,0.07548779,0.16240092,0.729077284946146,0.7019043893477713,0.5417511250551845,0.04309273535178233
119,0.4836162328720093,0.9451229,0.053308032,0.0,0.111276686,0.27783483,0.9324269345023257,0.9256495188335603,0.5974206619081068,0.3999699949089553
1,0.5988931059837341,0.80335945,0.2710874,0.3225215,0.2222499,0.27689445,0.5662171955216908,0.5227098253253021,0.806549143427706,0.10181221510334496
56,0.5430467128753662,0.7220163,0.22996017,0.44686592,0.23599413,0.18115543,0.35583093648368536,0.33310969781292543,0.17123355057706263,0.3664528201468815
78,0.47288280725479126,0.6885514,0.3314029,0.41934514,0.17906252,0.17542009,0.22837666503867204,0.43824189364720256,0.15468291425996722,0.9139659462406089
80,0.545354962348938,0.7159391,0.3694237,0.38023835,0.2052069,0.15823017,0.2818232998425909,0.3122126050851316,1e-06,0.27061584181320436
73,0.5585648417472839,0.6604698,0.08260766,0.2902221,0.20603022,0.2515136,0.41168854338836036,0.3575834795874816,0.14535401822479505,0.005252599299280885
68,0.6418285369873047,0.65165126,0.34112987,0.3876388,0.19803694,0.23418741,0.5514326126587266,0.5401255517248873,0.1010222601357669,0.5224589104130685
117,0.6700208187103271,0.71000147,0.31041244,0.3843398,0.1852971,0.1397094,0.1682515522421837,0.2461947753633851,0.07430738755514643,0.3505043966150414
148,0.6271910071372986,0.65288913,0.3568052,0.3119946,0.23718587,0.18441992,0.2147751631559598,0.4573725299816127,0.26351593555121994,0.8536703595195795
52,0.6069815158843994,0.7128788,0.19000891,0.36064452,0.20249745,0.27884424,0.3598052846382518,0.2955952970788942,0.44279181970005194,0.013905975350501483
9,0.5830281376838684,0.8191064,0.50218475,0.51345736,0.3099731,0.32684028,0.4192658845135324,0.3610196518660014,0.47593908853221334,0.023855812944496093
42,0.8579347729682922,0.6710587,0.35088357,0.35399616,0.20495585,0.19320174,0.2973440761785513,0.23869125475275557,0.4721046967165532,0.1101862712810068
48,0.8418331146240234,0.7550095,0.26882714,0.2406361,0.1641936,0.20738502,0.05640582879977041,0.12616330961389724,0.32593106195879323,0.13231187439385741
47,0.7971664667129517,0.713632,0.304801,0.2836373,0.14752516,0.20142399,0.26358867467948466,0.20388467926050077,0.39415165264216007,0.07746711425597266
117,0.7347714304924011,0.71664155,0.2269966,0.2733494,0.18113247,0.2137755,0.1682515522421837,0.2461947753633851,0.07430738755514643,0.3505043966150414
55,0.6236461997032166,0.7216101,0.46182293,0.48110795,0.2536913,0.30149484,0.5246822794342343,0.4770090572224197,0.4304259649369701,0.0664089712636658
