labels,geodesic,functional,structural
8,0.6044539,0.44442243189164365,0.2837752197812288
78,0.5582437,0.22837666503867426,0.43320000678464987
11,0.5930141,0.21668308540705095,0.24960182225136826
97,0.68825203,0.40858310452441504,0.1551936826407712
67,0.6061268,0.30283598756447017,0.07147183936498233
67,0.6523337,0.30283598756447017,0.07147183936498233
67,0.6187321,0.30283598756447017,0.07147183936498233
68,0.68531305,0.5514326126587248,0.21419168984490203
52,0.6924489,0.35980528463825134,0.48179204219228017
116,0.6613831,0.23506645061624365,0.02248374642837399
51,0.6763086,0.3244980839735909,0.3158875891190925
8,0.6601891,0.44442243189164365,0.2837752197812288
9,0.6476115,0.4192658845135324,0.5696292867072185
8,0.60868734,0.44442243189164365,0.2837752197812288
53,0.56737745,0.4371579939774053,0.41276080318713343
52,0.8780451,0.35980528463825134,0.48179204219228017
42,0.86781895,0.2973440761785584,0.10774345296328576
52,0.84695226,0.35980528463825134,0.48179204219228017
51,0.7619246,0.3244980839735909,0.3158875891190925
52,0.7730924,0.35980528463825134,0.48179204219228017
52,0.7261929,0.35980528463825134,0.48179204219228017
117,0.7331248,0.1682515522421797,0.10196458787074161
55,0.6758152,0.5246822794342356,0.38852094341238763
8,0.70632815,0.44442243189164365,0.2837752197812288
8,0.7349423,0.44442243189164365,0.2837752197812288
9,0.876956,0.4192658845135324,0.5696292867072185
9,0.8372195,0.4192658845135324,0.5696292867072185
39,0.9107852,0.38734597058578935,0.2865804017451281
39,0.9290605,0.38734597058578935,0.2865804017451281
68,0.69677234,0.5514326126587248,0.21419168984490203
97,0.7151765,0.40858310452441504,0.1551936826407712
55,0.77064186,0.5246822794342356,0.38852094341238763
44,0.7371917,0.43725084308280016,0.24550922432992017
44,0.70873004,0.43725084308280016,0.24550922432992017
43,0.6582406,0.4172196356890834,0.4464583957482967
64,0.27248216,0.7151561234470734,0.27631708698216645
61,0.25340375,0.7745377066496801,0.1281628899528889
69,0.30735484,0.4259315578437315,0.08744374154232207
63,0.48717764,0.4184735880488457,0.2042447607825766
62,0.42931125,0.6147522573915087,0.6494708658856277
63,0.47521907,0.4184735880488457,0.2042447607825766
60,0.48528594,0.39418983972618715,0.4275276779861935
63,0.534708,0.4184735880488457,0.2042447607825766
77,0.29605645,0.30380685256061835,0.22567766774482564
77,0.25887483,0.30380685256061835,0.22567766774482564
77,0.32608443,0.30380685256061835,0.22567766774482564
88,0.38601375,0.6444634398466937,0.3911363130152894
88,0.34737128,0.6444634398466937,0.3911363130152894
65,0.29079875,0.6925503262638997,0.31100650146221914
65,0.22873084,0.6925503262638997,0.31100650146221914
79,0.50538945,0.38506913582927815,0.13431598399715716
79,0.4697974,0.38506913582927815,0.13431598399715716
81,0.455089,0.43214330140485924,0.003743845792956432
171,0.38609177,0.2562583216305869,0.41443172607207024
82,0.36359262,0.3196429486945567,0.09231331971289085
171,0.32538962,0.2562583216305869,0.41443172607207024
76,0.26638812,0.2910068336962688,0.20652569412473656
174,0.45015836,0.6400778649893941,0.14562903215374762
24,0.4013588,0.7782464571053604,0.17436385200422627
24,0.3980712,0.7782464571053604,0.17436385200422627
114,0.31194,0.3720607013609252,0.052671306583761096
168,0.32898217,0.5542131184599022,0.46450896934684793
114,0.28834412,0.3720607013609252,0.052671306583761096
114,0.27347538,0.3720607013609252,0.052671306583761096
108,0.2723745,0.31334509141436184,0.19022128393521526
148,0.60221064,0.2147751631559598,0.17202240270947156
148,0.6248822,0.2147751631559598,0.17202240270947156
148,0.59910244,0.2147751631559598,0.17202240270947156
104,0.447808,0.5042087882718329,0.18466671488691816
104,0.49552864,0.5042087882718329,0.18466671488691816
104,0.4709841,0.5042087882718329,0.18466671488691816
124,0.4659484,0.5090047823058912,0.261194897589967
150,0.79778695,0.3651508756757127,0.2395659438732138
141,0.77493894,0.4631793064024725,0.11853902722242575
150,0.7519624,0.3651508756757127,0.2395659438732138
150,0.66663617,0.3651508756757127,0.2395659438732138
139,0.67494977,0.3078075383041705,0.24721212857938804
139,0.6149951,0.3078075383041705,0.24721212857938804
129,0.58914906,0.22431732946137162,0.23219057131196913
28,0.55387145,0.4070961987398207,0.4005970716063846
48,0.8428378,0.05640582879976952,0.36849595520506473
50,0.8792386,0.1536957732882125,0.39127254872794875
145,0.854802,0.3209388753011595,0.07089455601858949
151,0.81749,0.43775033660264917,0.14542242978266454
151,0.8803606,0.43775033660264917,0.14542242978266454
151,0.85132724,0.43775033660264917,0.14542242978266454
143,0.8393721,0.3570918377350596,0.3940836962975636
15,0.75167304,0.5679961977136765,0.530747687712172
3,0.72776943,0.12518221188289402,0.09818222963071896
3,0.76469654,0.12518221188289402,0.09818222963071896
16,0.95110977,0.0,0.5258919614116103
13,0.90898263,0.016933470101380355,0.19984317832735918
13,0.95839804,0.016933470101380355,0.19984317832735918
5,0.9537933,0.31819976492816604,0.715896230682052
6,0.97013324,0.2699418873061452,0.6655899910083684
37,0.7451005,0.4470000185968894,0.3058283730866595
37,0.7195976,0.4470000185968894,0.3058283730866595
38,0.7527289,0.48704769097429645,0.28126563482120015
30,0.7850375,0.4792164160808423,0.39998451167748295
161,0.759385,0.43803010805330134,0.4191807567104877
15,0.7508715,0.5679961977136765,0.530747687712172
30,0.72020274,0.4792164160808423,0.39998451167748295
