Geodesic,Myelin,Michigan_FEOBV,Aghourian_FEOBV,Bedard_FEOBV,Tuominen_FEOBV,functional,structural,funcG1,diffG1,wresidC
0.19098996,0.13936555,0.5466333,0.5582382,0.29373217,0.42964244,0.7465063,0.5769382,0.12881011,0.08203327,0.25158226
0.34130865,0.23351753,0.5269193,0.5520188,0.17010045,0.2838446,0.6088516,0.2242178,0.25297487,0.41982085,0.098999955
0.4599399,0.27062178,0.49592865,0.42849714,0.04485905,0.21757203,0.4155855,0.2994331,0.5164194,0.56651396,0.041947022
0.2332138,0.2230444,0.3675232,0.5265936,0.24401593,0.29058814,0.7134172,0.3250408,0.18256626,0.21770263,0.16907641
0.2210129,0.26646197,0.49676156,0.463265,0.22284722,0.297423,0.68396336,0.41782257,0.054892767,0.25836354,0.44433907
0.15710403,0.48672438,0.3546703,0.46448916,0.20416045,0.24317008,0.6611219,0.106739,0.35338518,0.65904474,0.04482581
0.6029302,0.33732998,0.2836603,0.39061254,0.1326133,0.17626023,0.309821,0.23087464,0.23501696,0.6025736,0.20636284
0.6417213,0.31084156,0.35952556,0.43354648,0.10701418,0.18034106,0.52820104,0.11678081,0.111923955,0.6355735,0.47754055
0.36765432,0.19977129,0.46418053,0.39521104,0.05874741,0.19566321,0.43006334,0.48185894,0.18888594,0.43140152,0.20321068
0.5596038,0.23456955,0.30836678,0.38465482,0.063324094,0.10898769,0.2752218,0.3393628,0.24234983,0.6259363,0.1937871
0.5540308,0.2352848,0.29490846,0.39160353,0.12410033,0.1886046,0.43019453,0.27467722,0.15452227,0.61121196,0.367333
0.37573034,0.23178601,0.34474522,0.35213774,0.07873058,0.24379921,0.5510587,0.53230846,0.08988308,0.44875062,0.4217421
0.5172064,0.38331974,0.3179915,0.4009698,0.14976299,0.18067443,0.405749,0.14392267,0.41988954,0.6123897,0.01981823
0.35258073,0.3402351,0.4096682,0.5545531,0.20658386,0.24440569,0.24512443,0.17087625,0.6072492,0.6246016,0.1136586
0.25555915,0.3956313,0.34315723,0.5050004,0.1917603,0.21691632,0.27414545,0.20731393,0.515451,0.6533505,0.10465284
0.18304329,0.3044243,0.40549207,0.4912513,0.09541857,0.17223275,0.2930374,0.24764068,0.40801886,0.67723274,0.056203786
0.2610792,0.25158608,0.34318274,0.49310535,0.16891801,0.16547352,0.32656372,0.44819137,0.4196478,0.5902082,0.0424256
0.44265997,0.33138347,0.48101044,0.5889589,0.20468378,0.28281307,0.23502165,0.15195338,0.96070683,0.62109536,0.8975899
0.4684611,0.44762588,0.41363245,0.5980781,0.10312259,0.14685023,0.36064097,0.01992744,0.70417523,0.63044,0.24130529
0.508338,0.4278475,0.5411208,0.5198539,0.12083495,0.13748038,0.27499056,0.015713776,0.74789834,0.62092143,0.34023145
0.40745538,0.45283604,0.40895957,0.49916404,0.13157952,0.19053102,0.4119002,0.093380496,0.5517045,0.63267666,0.052847683
0.3534106,0.3722204,0.41379368,0.5261926,0.14952314,0.23939973,0.31858915,0.19301303,0.78110415,0.6446989,0.4281227
0.4520167,0.3542775,0.20493074,0.42690116,0.17869806,0.24525326,0.31762418,0.14884166,0.65216416,0.60639054,0.17668335
0.5030768,0.26340413,0.2980916,0.4402005,0.21476293,0.26211762,0.31808203,0.17297757,0.8331964,0.60212535,0.6096873
0.38306576,0.31039107,0.34954602,0.48727924,0.19255543,0.26648962,0.37733862,0.28187817,0.60217386,0.5853077,0.12184161
0.5054611,0.27985978,0.40235877,0.4411053,0.16305327,0.23579955,0.43581164,0.24400422,0.6914997,0.58170044,0.3223972
0.49555767,0.23556054,0.30754906,0.39413136,0.10050106,0.22385609,0.3551317,0.41474485,0.27726826,0.5640322,0.13132632
0.2114666,0.17046654,0.46919018,0.3825509,0.17106009,0.29782474,0.6546554,0.5471215,0.16967316,0.2869674,0.23346418
0.36561072,0.270424,0.357347,0.43600148,0.18435776,0.29932094,0.40961674,0.56393313,0.39914757,0.4901039,0.0632254
0.30282736,0.2104677,0.17303263,0.36906546,0.14300561,0.21990931,0.562869,0.6773028,0.3614529,0.38466394,0.06993704
0.21643607,0.26115263,0.34146488,0.37478203,0.20864797,0.27132398,0.5373369,0.48255384,0.6809139,0.49277753,0.28249556
0.10814951,0.31224918,0.43006164,0.40774292,0.2747723,0.28474933,0.75386536,0.32427025,0.61252314,0.43639866,0.1310427
0.10340613,0.24892914,0.3718565,0.4236843,0.2608055,0.33592987,0.8702793,0.6093265,0.431747,0.16818899,0.025403712
0.0773983,0.27005816,0.5318212,0.47062486,0.25103247,0.28651708,0.62321895,0.3277028,0.3382676,0.5391034,0.091765575
0.80723447,0.5076709,0.23178716,0.35883862,0.04275191,0.07332343,0.21839234,0.17847084,0.7298181,0.7800558,0.29529896
0.75023264,0.41245556,0.35285836,0.49260944,0.12633932,0.24895096,0.3997231,0.2052765,0.7374519,0.6179046,0.28270918
0.6855395,0.38242555,0.3375122,0.4299336,0.1530118,0.19200009,0.39470086,0.1915856,0.46892214,0.61102766,0.17229646
0.6602324,0.27996016,0.33502185,0.37691623,0.083005786,0.1325264,0.35074195,0.16745616,0.28528586,0.6526663,0.13931826
0.4057485,0.3919418,0.5764489,0.7373429,0.2795118,0.3990698,0.37161043,0.13548581,0.8281391,0.61922556,0.437197
0.43443376,0.36538863,0.5267797,0.6155371,0.2141484,0.31046963,0.40361956,0.1825807,0.7135188,0.6231716,0.20378695
0.4082448,0.4772489,0.6927961,0.6467677,0.3027004,0.57404697,0.40961722,0.07921434,0.5689476,0.6220252,0.04785375
0.34447473,0.48177445,0.76065755,0.7459505,0.34068942,0.56388605,0.49792963,0.050498404,0.6019249,0.6283519,0.0702641
0.28237855,0.41259348,0.955541,0.7961996,0.45631945,0.6651572,0.589695,0.1966005,0.7319328,0.7881219,0.21716188
0.42472363,0.61045957,0.70265144,0.49868113,0.14390099,0.46937084,0.493735,0.07574343,0.584508,0.648099,0.051402677
0.4796781,0.4243908,0.59112406,0.5530037,0.21525729,0.42607284,0.37069413,0.13207135,0.79565305,0.6571762,0.38805562
0.19089405,0.22620463,0.81312084,0.9438508,0.77157927,0.6470554,0.53445566,0.5235012,0.8274185,0.5947087,0.37720403
0.22952129,0.32516932,0.5768206,0.43279773,0.22381282,0.3456639,0.4646507,0.22460726,0.6391189,0.8008741,0.09077661
0.26671845,0.24825203,0.6238914,0.6680388,0.34115088,0.4414661,0.317669,0.06952874,0.979613,0.6310763,0.97562027
0.1870997,0.14706123,0.785865,0.783014,0.7454685,0.7265738,0.3930092,0.16364756,0.97075915,0.6240732,0.86167055
0.08656643,0.45599008,0.69736123,0.7229261,0.50627995,0.46000707,0.8768957,0.8558232,0.5760449,0.43568286,0.1307
0.13742906,0.29009414,0.5288938,0.51402885,0.29657233,0.3046447,0.514393,0.06155854,0.7720728,0.645722,0.34241793
0.08107878,0.15674627,0.6977729,0.58761436,0.46403527,0.4615755,0.8534956,0.4234794,0.56335,0.50735325,0.1687822
0.34534,0.31209326,0.67267734,0.6811871,0.27114213,0.44040596,0.3231324,0.061383888,0.8978413,0.6354573,0.6768079
0.25109982,0.2445488,0.9750211,0.9468041,1.0,1.0,0.37531972,0.024438368,0.8923746,0.62651443,0.6875698
0.2991916,0.31078088,0.6819429,0.7322946,0.38474882,0.5029086,0.42829862,0.025657283,0.7106858,0.62541205,0.2270201
0.6024115,0.37385714,0.42756605,0.52327937,0.13934135,0.19775033,0.24035707,0.13431177,0.75356233,0.6437471,0.29480293
0.7196713,0.45626533,0.343197,0.4562021,0.061043024,0.13511819,0.18042575,0.09779915,0.7637484,0.69052464,0.32781804
0.2755069,0.4077878,0.410896,0.29183775,0.051443934,0.13725603,0.9093495,0.50120777,0.22963937,0.870422,0.298555
0.3853951,0.85496914,0.20349397,0.16004801,0.09164429,0.284411,0.9253933,0.6143709,0.18606493,0.8918065,0.36415488
,0.010317087,,,,,0.9004125,0.6894486,0.22852461,0.84513944,0.23599347
0.56016344,0.50739694,0.40311968,0.34522408,0.09630442,0.21550143,0.58072346,0.5119718,0.41098306,0.8542336,0.061931096
0.31574124,0.15120769,0.53011274,0.43275708,0.25384247,0.18638909,0.82257175,0.7453956,0.5035015,0.7897261,0.06464186
0.2420337,0.16285014,0.44860673,0.4378968,0.21575809,0.25775492,0.41819558,0.37522006,0.40485168,0.8064074,0.055951826
0.3911054,0.64907014,0.7229568,0.7016631,0.27413344,0.4187708,0.50659734,0.21120451,0.54889137,0.7396349,0.015478454
0.39202368,0.4043784,0.3946693,0.5819941,0.23772693,0.26060915,0.3526312,0.2504308,0.49482214,0.8329429,0.0061740107
0.4122513,0.43639815,0.41336745,0.28182155,0.11958897,0.255369,0.74439406,0.50462365,0.2007455,0.9018301,0.3200295
